code,code_name,n_qubits,noise,p,P_L,n_trials
repetition,3-qubit repetition code,3,bitflip,0.001,3.3333333333333333e-06,3000000
repetition,3-qubit repetition code,3,bitflip,0.0013301714391945158,6.650858315435135e-06,2255348
repetition,3-qubit repetition code,3,bitflip,0.0017693560576488095,1.4744634722317243e-05,1695532
repetition,3-qubit repetition code,3,bitflip,0.002353546893650254,1.7259355551354037e-05,1274671
repetition,3-qubit repetition code,3,bitflip,0.00313062085873854,3.3393302138423584e-05,958276
repetition,3-qubit repetition code,3,bitflip,0.0041642624532406145,6.38520852564147e-05,720415
repetition,3-qubit repetition code,3,bitflip,0.005539182980610753,8.308776283428977e-05,541596
repetition,3-qubit repetition code,3,bitflip,0.0073680629972807735,0.00014981751735181574,407162
repetition,3-qubit repetition code,3,bitflip,0.009800786961168824,0.00027115587542511036,306097
repetition,3-qubit repetition code,3,bitflip,0.013036726897376788,0.0005258149044624738,230119
repetition,3-qubit repetition code,3,bitflip,0.017341081779469535,0.0009075196966456453,172999
repetition,3-qubit repetition code,3,bitflip,0.02306661170778679,0.001706930753971305,130058
repetition,3-qubit repetition code,3,bitflip,0.030682548092687834,0.0028944004091025315,97775
repetition,3-qubit repetition code,3,bitflip,0.04081304915460552,0.004720767294741854,73505
repetition,3-qubit repetition code,3,bitflip,0.05428835233189814,0.008631921824104235,55260
repetition,3-qubit repetition code,3,bitflip,0.07221281575281993,0.01468,50000
repetition,3-qubit repetition code,3,bitflip,0.09605542505821689,0.0256,50000
repetition,3-qubit repetition code,3,bitflip,0.1277701829921294,0.04616,50000
repetition,3-qubit repetition code,3,bitflip,0.1699562481967874,0.07662,50000
repetition,3-qubit repetition code,3,bitflip,0.22607094726402102,0.1277,50000
repetition,3-qubit repetition code,3,bitflip,0.3007131172822503,0.22114,50000
repetition,3-qubit repetition code,3,bitflip,0.4,0.34624,50000
repetition,3-qubit repetition code,3,phaseflip,0.001,0.003018,3000000
repetition,3-qubit repetition code,3,phaseflip,0.0013301714391945158,0.0040100241736530234,2255348
repetition,3-qubit repetition code,3,phaseflip,0.0017693560576488095,0.005268552878978397,1695532
repetition,3-qubit repetition code,3,phaseflip,0.002353546893650254,0.007073982227570879,1274671
repetition,3-qubit repetition code,3,phaseflip,0.00313062085873854,0.009273946128255325,958276
repetition,3-qubit repetition code,3,phaseflip,0.0041642624532406145,0.01222351006017365,720415
repetition,3-qubit repetition code,3,phaseflip,0.005539182980610753,0.016408909962407403,541596
repetition,3-qubit repetition code,3,phaseflip,0.0073680629972807735,0.021878269583114337,407162
repetition,3-qubit repetition code,3,phaseflip,0.009800786961168824,0.02901694560874494,306097
repetition,3-qubit repetition code,3,phaseflip,0.013036726897376788,0.038054224118825475,230119
repetition,3-qubit repetition code,3,phaseflip,0.017341081779469535,0.04933554529216932,172999
repetition,3-qubit repetition code,3,phaseflip,0.02306661170778679,0.06607052238232174,130058
repetition,3-qubit repetition code,3,phaseflip,0.030682548092687834,0.08690360521605728,97775
repetition,3-qubit repetition code,3,phaseflip,0.04081304915460552,0.11098564723488198,73505
repetition,3-qubit repetition code,3,phaseflip,0.05428835233189814,0.14645313065508506,55260
repetition,3-qubit repetition code,3,phaseflip,0.07221281575281993,0.18846,50000
repetition,3-qubit repetition code,3,phaseflip,0.09605542505821689,0.23432,50000
repetition,3-qubit repetition code,3,phaseflip,0.1277701829921294,0.29112,50000
repetition,3-qubit repetition code,3,phaseflip,0.1699562481967874,0.35646,50000
repetition,3-qubit repetition code,3,phaseflip,0.22607094726402102,0.4167,50000
repetition,3-qubit repetition code,3,phaseflip,0.3007131172822503,0.47002,50000
repetition,3-qubit repetition code,3,phaseflip,0.4,0.4947,50000
repetition,3-qubit repetition code,3,depolarizing,0.001,0.002024666666666667,3000000
repetition,3-qubit repetition code,3,depolarizing,0.0013301714391945158,0.0026465982189888214,2255348
repetition,3-qubit repetition code,3,depolarizing,0.0017693560576488095,0.003590613447578695,1695532
repetition,3-qubit repetition code,3,depolarizing,0.002353546893650254,0.004839680199831956,1274671
repetition,3-qubit repetition code,3,depolarizing,0.00313062085873854,0.006350988650451436,958276
repetition,3-qubit repetition code,3,depolarizing,0.0041642624532406145,0.008427087165036819,720415
repetition,3-qubit repetition code,3,depolarizing,0.005539182980610753,0.011120835456687272,541596
repetition,3-qubit repetition code,3,depolarizing,0.0073680629972807735,0.014028814083829041,407162
repetition,3-qubit repetition code,3,depolarizing,0.009800786961168824,0.019320672858603644,306097
repetition,3-qubit repetition code,3,depolarizing,0.013036726897376788,0.026347237733520483,230119
repetition,3-qubit repetition code,3,depolarizing,0.017341081779469535,0.034589795316735936,172999
repetition,3-qubit repetition code,3,depolarizing,0.02306661170778679,0.04474157683495056,130058
repetition,3-qubit repetition code,3,depolarizing,0.030682548092687834,0.06082331884428535,97775
repetition,3-qubit repetition code,3,depolarizing,0.04081304915460552,0.07849806135637032,73505
repetition,3-qubit repetition code,3,depolarizing,0.05428835233189814,0.10472312703583062,55260
repetition,3-qubit repetition code,3,depolarizing,0.07221281575281993,0.13568,50000
repetition,3-qubit repetition code,3,depolarizing,0.09605542505821689,0.17402,50000
repetition,3-qubit repetition code,3,depolarizing,0.1277701829921294,0.22578,50000
repetition,3-qubit repetition code,3,depolarizing,0.1699562481967874,0.28958,50000
repetition,3-qubit repetition code,3,depolarizing,0.22607094726402102,0.3616,50000
repetition,3-qubit repetition code,3,depolarizing,0.3007131172822503,0.44054,50000
repetition,3-qubit repetition code,3,depolarizing,0.4,0.53396,50000
five_qubit,5-qubit perfect code,5,bitflip,0.001,9.666666666666667e-06,3000000
five_qubit,5-qubit perfect code,5,bitflip,0.0013301714391945158,1.906579383758072e-05,2255348
five_qubit,5-qubit perfect code,5,bitflip,0.0017693560576488095,2.9489269444634487e-05,1695532
five_qubit,5-qubit perfect code,5,bitflip,0.002353546893650254,6.119226059116431e-05,1274671
five_qubit,5-qubit perfect code,5,bitflip,0.00313062085873854,9.704928433979354e-05,958276
five_qubit,5-qubit perfect code,5,bitflip,0.0041642624532406145,0.00018045154528986763,720415
five_qubit,5-qubit perfect code,5,bitflip,0.005539182980610753,0.00027326641998833077,541596
five_qubit,5-qubit perfect code,5,bitflip,0.0073680629972807735,0.0005157652236701853,407162
five_qubit,5-qubit perfect code,5,bitflip,0.009800786961168824,0.0009180096505356145,306097
five_qubit,5-qubit perfect code,5,bitflip,0.013036726897376788,0.001612209335170064,230119
five_qubit,5-qubit perfect code,5,bitflip,0.017341081779469535,0.002953774299273406,172999
five_qubit,5-qubit perfect code,5,bitflip,0.02306661170778679,0.004836303802918698,130058
five_qubit,5-qubit perfect code,5,bitflip,0.030682548092687834,0.008805931986704168,97775
five_qubit,5-qubit perfect code,5,bitflip,0.04081304915460552,0.014516019318413714,73505
five_qubit,5-qubit perfect code,5,bitflip,0.05428835233189814,0.02598624683315237,55260
five_qubit,5-qubit perfect code,5,bitflip,0.07221281575281993,0.04392,50000
five_qubit,5-qubit perfect code,5,bitflip,0.09605542505821689,0.07532,50000
five_qubit,5-qubit perfect code,5,bitflip,0.1277701829921294,0.12726,50000
five_qubit,5-qubit perfect code,5,bitflip,0.1699562481967874,0.2002,50000
five_qubit,5-qubit perfect code,5,bitflip,0.22607094726402102,0.31822,50000
five_qubit,5-qubit perfect code,5,bitflip,0.3007131172822503,0.46796,50000
five_qubit,5-qubit perfect code,5,bitflip,0.4,0.66004,50000
five_qubit,5-qubit perfect code,5,phaseflip,0.001,9.333333333333333e-06,3000000
five_qubit,5-qubit perfect code,5,phaseflip,0.0013301714391945158,2.083935605503009e-05,2255348
five_qubit,5-qubit perfect code,5,phaseflip,0.0017693560576488095,2.713012788906373e-05,1695532
five_qubit,5-qubit perfect code,5,phaseflip,0.002353546893650254,5.0993550492636926e-05,1274671
five_qubit,5-qubit perfect code,5,phaseflip,0.00313062085873854,9.183158088066487e-05,958276
five_qubit,5-qubit perfect code,5,phaseflip,0.0041642624532406145,0.00017628727886010147,720415
five_qubit,5-qubit perfect code,5,phaseflip,0.005539182980610753,0.000269573630529029,541596
five_qubit,5-qubit perfect code,5,phaseflip,0.0073680629972807735,0.000559973671413344,407162
five_qubit,5-qubit perfect code,5,phaseflip,0.009800786961168824,0.000953945971375087,306097
five_qubit,5-qubit perfect code,5,phaseflip,0.013036726897376788,0.0015644079802189302,230119
five_qubit,5-qubit perfect code,5,phaseflip,0.017341081779469535,0.003046260383007994,172999
five_qubit,5-qubit perfect code,5,phaseflip,0.02306661170778679,0.005090036752833351,130058
five_qubit,5-qubit perfect code,5,phaseflip,0.030682548092687834,0.00912298644847865,97775
five_qubit,5-qubit perfect code,5,phaseflip,0.04081304915460552,0.014584041901911435,73505
